ID	PC1	PC2	PC3	PC4
HG00096	1.22046	1.60027	0.25102	-1.21831
HG00097	0.5344	0.12559	0.10511	-0.69139
HG00099	0.42408	-0.65753	1.1288	1.53129
HG00100	3.00232	-0.87097	-1.64571	-0.18732
HG00101	-1.14123	0.79252	0.79401	0.62022
HG00102	-0.98188	1.02256	1.93695	0.38741
HG00103	0.17131	-0.50585	0.82571	-0.14556
HG00105	0.24737	-0.73684	1.00049	1.16007
HG00106	0.83369	-1.86531	0.79941	-1.09997
HG00107	-0.39493	0.16649	-1.04896	0.35541
HG00108	0.31779	1.02203	-0.79661	-0.247
HG00109	0.30302	0.1154	0.20248	-0.85837
HG00110	-3.09397	-0.57142	-2.72502	0.84997
HG00111	1.32327	0.97109	0.64037	0.62871
HG00112	0.28459	-0.73442	-0.33855	1.77264
HG00113	0.20146	0.04723	0.23728	-0.50905
HG00114	-1.1868	-0.82228	-1.57326	-0.4998
HG00115	-0.28211	-0.50871	0.69716	-0.41674
HG00116	-0.26602	0.4984	0.8768	1.28742
HG00117	0.07926	0.48839	0.26893	0.75668
HG00118	0.23143	1.1329	1.53412	0.48164
HG00119	1.48603	0.18819	-0.73277	0.43469
HG00120	0.64637	-0.96819	0.28424	-0.17989
HG00121	2.30828	0.80362	-1.87041	0.43831
HG00122	0.79374	-2.04107	-0.96085	-1.1646
HG00123	0.65451	0.02106	0.75847	-1.23875
HG00125	-0.05028	-0.88859	-2.78351	-0.0302
HG00126	-0.89771	0.59315	-0.80875	-0.80495
HG00127	-0.56309	-2.5558	-0.43511	-1.03847
HG00128	0.54736	1.40538	-0.84502	-0.84219
HG00129	0.61706	-0.07761	-1.13349	0.62563
HG00130	0.18037	-0.57287	1.48029	0.90704
HG00131	-0.21269	0.19632	0.0138	-0.28227
HG00132	-1.11093	1.90265	0.63485	1.14278
HG00133	-0.86012	-0.36317	1.59694	-0.32089
HG00136	1.2097	1.22815	-1.14698	2.42563
HG00137	-0.97589	-0.40234	-0.87748	0.39305
HG00138	-0.1548	1.18738	-1.23492	0.55105
HG00139	0.76331	1.65089	-0.82509	2.75344
HG00140	-0.91729	0.17362	-0.22696	0.19701
HG00141	-1.89054	0.13155	-0.94803	0.24692
HG00142	-0.31697	-1.68252	-0.34106	-0.87303
HG00143	0.29987	-1.1587	1.28567	1.47826
HG00145	0.09344	-0.36705	0.51126	0.41085
HG00146	0.60626	-0.95015	-0.59328	0.1881
HG00148	-1.28933	1.09273	1.88843	1.78234
HG00149	-1.24099	-1.39089	0.4463	-0.62837
HG00150	-0.58904	0.89082	-0.36466	0.15853
HG00151	-0.50906	-1.57799	-0.30596	0.58254
HG00154	0.84443	-2.03895	1.07856	-1.13484
HG00155	-2.60454	-0.99975	0.93328	-0.87811
HG00157	-0.68991	-2.46983	0.20555	0.54552
HG00158	-0.68986	-0.86378	1.32411	0.35613
HG00159	-1.68032	1.26029	0.50429	-0.21961
HG00160	-1.96031	1.37126	-0.11733	-1.38135
HG00171	0.45814	1.11407	-1.68649	-0.99779
HG00173	1.10656	0.33443	-0.05719	-0.64362
HG00174	-1.92182	-0.61816	1.03959	0.0195
HG00176	0.00078	1.10867	0.61383	-0.65567
HG00177	-0.68473	0.46287	1.16409	-0.20338
HG00178	-0.78514	-0.99799	1.16162	-0.82544
HG00179	1.73232	1.19607	-0.37459	-0.45593
HG00180	1.18091	-1.80585	-0.8845	0.24762
HG00181	-0.58497	-1.8227	-1.42997	0.28219
HG00182	0.8701	0.94419	0.47107	-0.35264
HG00183	-1.13064	-0.43462	0.57968	0.87284
HG00185	1.08794	-1.75578	-0.52163	0.59552
HG00186	-0.36695	-0.19404	-0.97243	0.41559
HG00187	-0.22052	0.95056	0.23596	-0.2189
HG00188	0.68844	-0.75472	-0.42789	0.09412
HG00189	1.17346	-0.2206	-1.43136	0.2277
HG00190	1.29592	-0.69376	-1.33021	0.12531
HG00231	1.66146	0.02195	0.26085	0.218
HG00232	1.27307	1.94706	-1.37719	0.44423
HG00233	1.58613	-0.52372	0.37086	2.21216
HG00234	-0.32881	-0.29122	-0.15795	-0.70573
HG00235	1.24097	1.02367	0.71679	-1.84792
HG00236	-1.62971	0.65584	-0.67887	-0.623
HG00237	-0.96747	1.02295	1.6343	0.41929
HG00238	-0.14849	2.35961	0.81299	-1.38018
HG00239	-0.12575	-0.82993	-0.02719	-0.16759
HG00240	-0.28132	1.19936	-0.33408	0.29042
HG00242	0.62049	-1.00764	-0.46327	-0.01326
HG00243	0.40474	0.37602	0.01017	0.29584
HG00244	-0.99099	-1.10569	0.31365	2.21894
HG00245	1.21978	-2.41012	-1.08021	0.04603
HG00246	-0.87408	-0.88594	-1.96966	2.6257
HG00250	0.12666	0.59645	1.92008	0.82687
HG00251	-1.0626	-0.29462	0.47322	-0.82953
HG00252	0.2761	-0.91142	1.34279	-0.14708
HG00253	1.67975	0.11353	0.14335	-0.61422
HG00254	-0.97699	0.63443	-1.01564	-1.87121
HG00255	0.06989	-0.8713	-0.70685	-1.20176
HG00256	0.15145	0.37248	0.84775	0.99768
HG00257	2.16326	-0.92358	-1.03836	0.85661
HG00258	-0.45709	-0.11685	1.09801	-1.66747
HG00259	1.31297	-0.84137	1.45932	-1.41506
HG00260	1.0998	2.06684	0.90816	1.17369
HG00261	0.21952	-0.56292	-1.03533	0.84402
HG00262	0.8017	-0.52645	1.68042	-1.31084
HG00263	-1.48063	0.92019	-1.1435	1.42235
HG00264	1.10155	0.11847	0.88493	0.85533
HG00265	1.01955	0.15449	-0.19402	0.4903
HG00266	0.00544	0.54784	-0.45502	1.15501
HG00267	0.31524	2.56986	0.39152	0.3481
HG00268	-2.2642	0.6624	-1.17934	2.20798
HG00269	0.14484	1.06324	-0.59497	0.42507
HG00271	-2.84479	-0.94176	1.6048	0.05723
HG00272	0.57631	0.65169	-2.19254	-0.04229
HG00273	0.07977	1.14556	1.37772	0.06265
HG00274	-0.16358	1.42756	0.12063	-0.07789
HG00275	0.71074	-0.35206	-0.13766	-0.24571
HG00276	-2.0557	0.24169	0.42819	0.64279
HG00277	0.08715	-0.18107	-0.11827	-1.75871
HG00278	-1.35929	-1.17748	-1.05544	-0.08863
HG00280	-0.28518	0.73708	-0.20014	0.80751
HG00281	-1.02665	-1.66602	-0.19965	0.08324
HG00282	-0.18789	0.64257	1.76253	-0.91456
HG00284	-1.38255	0.01351	-0.78976	-0.3397
HG00285	-1.23305	0.83459	-1.3249	1.27024
HG00288	1.57074	-0.35767	1.23204	0.14554
HG00290	-1.55054	-1.4192	0.49674	-0.54036
HG00304	-0.1864	0.40669	0.23789	-0.84632
HG00306	0.62087	0.10937	0.69611	-0.82736
HG00308	0.60105	-0.45042	-0.04811	-0.09786
HG00309	-0.19361	-0.35827	-0.07067	-0.14674
HG00310	2.49835	0.13883	-0.24901	-1.14275
HG00311	-0.91846	-1.23198	-0.10209	-0.35162
HG00313	0.50679	0.10949	1.29372	-1.39755
HG00315	1.28675	-1.06594	-0.44631	-1.61176
HG00318	-0.14971	1.64121	0.00261	0.73953
HG00319	-1.30374	-0.08992	-0.67234	0.07128
HG00320	0.41615	0.12131	-0.07189	-0.14478
HG00321	1.61119	1.03605	-0.66559	0.37976
HG00323	0.28873	1.93371	-0.82559	-0.40537
HG00324	0.29077	-0.11682	0.11567	-0.1874
HG00325	0.32797	0.08829	-1.25441	0.59094
HG00326	-0.42784	-0.71109	0.99695	2.06826
HG00327	-1.4193	1.07563	-0.29306	1.17489
HG00328	1.03688	-0.49823	1.11013	-1.42734
HG00329	-1.311	-0.95151	-2.27386	-0.88575
HG00330	0.15037	-0.93263	-0.96773	0.16787
HG00331	0.68094	0.30362	0.75193	-1.30418
HG00332	-1.0121	0.06371	1.31976	-1.25628
HG00334	-1.11588	0.27451	0.05264	0.97017
HG00335	0.37827	-0.83099	2.23398	0.87123
HG00336	1.81752	-0.68604	1.69252	0.24578
HG00337	-0.70132	-0.76816	-1.20686	-0.79926
HG00338	-0.85356	0.40077	0.10349	0.95435
HG00339	0.78404	0.69684	-0.63554	-0.66994
HG00341	0.00531	1.07167	0.99292	-0.48638
HG00342	0.79496	1.04622	-0.3485	-0.41552
HG00343	-0.27599	-0.22015	-2.6884	-0.25661
HG00344	0.1365	0.27012	1.64896	0.59558
HG00345	0.56393	-1.10633	-0.19158	0.34945
HG00346	0.50678	0.51926	0.70367	-0.17744
HG00349	0.91601	-0.64306	-0.19207	1.18362
HG00350	-0.73134	0.4297	0.46963	0.10436
HG00351	-0.3183	0.27675	-0.35587	1.91689
HG00353	1.8596	0.69265	1.0627	0.43831
HG00355	0.47129	0.46856	-0.22853	1.28212
HG00356	0.15409	0.05568	-1.78624	-0.68279
HG00357	1.24648	-1.2328	1.00661	0.05151
HG00358	-1.73478	-1.25342	1.94919	-1.47447
HG00360	1.12799	0.89643	0.65202	-2.81226
HG00361	-0.77629	-0.54626	0.02735	-0.73007
HG00362	0.41008	-0.81524	0.99859	-0.38563
HG00364	-1.1285	-0.4184	-0.74399	1.09274
HG00365	-0.26354	-0.41136	-0.21599	0.47466
HG00366	-0.88894	-0.51388	1.52073	0.62145
HG00367	0.63151	-1.16022	2.03409	-0.04483
HG00368	-0.65056	0.04006	-1.46545	-0.01912
HG00369	-0.17549	0.74137	1.66118	0.07111
HG00371	-0.6331	1.35521	0.1493	1.32521
HG00372	-0.75272	0.19303	2.16861	-1.4544
HG00373	0.76752	0.25141	-0.26936	-0.71297
HG00375	1.21911	-1.41671	-0.05002	0.22785
HG00376	0.60209	1.59919	-0.38123	-1.07746
HG00378	0.026	-0.129	-0.01335	-0.23881
HG00379	1.19674	-0.47788	-0.72264	1.31353
HG00380	-0.04874	1.21022	1.44989	-1.64359
HG00381	-1.03813	-0.13673	-0.99426	-0.29788
HG00382	0.86341	-1.79022	1.85933	1.74488
HG00383	1.04067	0.47206	-1.05834	0.7533
HG00384	0.36213	0.1607	0.64019	1.08241
HG00403	0.42356	-0.70632	-1.16066	2.01767
HG00404	0.23833	-0.15058	0.09632	1.62628
HG00405	0.71234	0.16645	0.90116	0.17908
HG00406	0.48242	0.94154	1.44368	-0.76681
HG00407	0.29824	-0.83089	1.15889	-2.04221
HG00408	-0.39218	-0.2213	-0.1609	-0.1469
HG00409	-0.08878	0.01153	2.00844	-1.03628
HG00410	0.52	1.75915	0.37759	0.16065
HG00418	-0.8014	0.11429	0.80962	0.11558
HG00419	0.83126	0.69927	0.11773	0.02058
HG00420	1.4756	-1.52958	0.53442	-2.56668
HG00421	-0.03857	-0.17937	0.26103	-1.71287
HG00422	-0.05576	-0.43627	-0.14755	1.50984
HG00423	1.28414	1.95453	0.34212	-1.83166
HG00427	-1.50169	1.31716	0.56973	1.08947
HG00428	1.00229	-0.20533	-0.60704	0.305
HG00429	-1.09442	-1.84666	-0.10805	-0.1433
HG00436	-0.12492	-0.85098	-0.32674	0.61135
HG00437	-0.58549	0.52114	0.99414	0.49338
HG00438	0.05984	0.62491	0.18825	-0.05225
HG00442	-1.11476	-0.13358	0.49555	-0.19736
HG00443	-1.24864	-0.01776	-1.31316	0.22802
HG00444	1.3013	-0.09327	-0.91259	0.89696
HG00445	0.66467	-0.8148	1.24741	0.14011
HG00446	-0.72592	-1.82325	-0.20003	-0.13954
HG00447	0.33775	0.38496	0.01061	-0.65632
HG00448	0.29111	1.69302	0.62671	-0.31744
HG00449	0.87187	-1.24098	0.19411	-1.20322
HG00450	0.02856	0.63789	0.59241	-2.25408
HG00451	0.12659	1.30712	0.356	0.72971
HG00452	0.88139	-0.39501	0.45825	-0.06709
HG00453	1.52522	-0.98716	-0.29183	-0.56543
HG00457	0.98569	-1.38102	-1.25062	-0.66345
HG00458	2.71822	-0.46639	0.33785	0.41756
HG00459	-0.99379	-1.18109	0.16033	0.14574
HG00463	1.86443	1.33697	-0.38739	1.17912
HG00464	2.0386	0.65641	0.14168	-0.42988
HG00465	-0.47005	0.94841	0.08146	0.58903
HG00472	-0.81399	1.53787	0.77667	-1.35685
HG00473	0.50581	-1.16064	1.13088	0.35004
HG00474	-1.12915	0.86903	0.10282	0.62496
HG00475	0.49976	-0.81901	0.81057	-0.76084
HG00476	-0.08862	1.24992	-0.61328	0.46534
HG00477	1.61133	-0.78132	0.08909	-1.48431
HG00478	0.41598	0.05187	1.57764	0.19294
HG00479	1.13055	-0.8847	-0.76885	1.36245
HG00480	-0.42857	-0.27177	-1.60594	1.36598
HG00500	-0.94338	-0.12387	-0.4391	1.15578
HG00501	1.24575	-0.76786	0.25845	2.06111
HG00502	-1.01574	0.46922	0.50901	-0.83348
HG00512	-0.40187	-1.00863	0.424	-0.35081
HG00513	-0.97115	-1.09667	0.19713	-1.03025
HG00514	-0.51757	1.75903	0.78323	0.11296
HG00524	0.34136	-0.59487	0.04403	1.28817
HG00525	0.29506	-0.74064	1.31951	-0.07719
HG00526	0.03255	0.74339	0.05723	0.91354
HG00530	-0.07569	0.94334	1.6527	-0.14909
HG00531	-0.06722	1.26789	0.32173	0.85073
HG00532	-1.01497	-1.0126	-0.50206	-1.42812
HG00533	-0.73075	1.83975	0.56321	1.30051
HG00534	0.5686	-1.68729	0.37153	-0.9914
HG00535	1.42256	-0.33981	0.34984	-0.07019
HG00536	0.87385	-1.09033	-0.12795	-2.09499
HG00537	0.53514	-0.2421	-0.60435	0.58314
HG00538	1.32627	-0.36616	-0.36469	0.55349
HG00542	-0.35008	0.55874	0.0908	0.43983
HG00543	0.40652	-1.04045	1.30453	-1.09929
HG00544	-0.27158	-0.69057	0.13602	-1.03966
HG00551	0.06783	-1.25368	-1.54591	-0.52372
HG00552	-1.05713	0.44626	0.64898	-1.19124
HG00553	-0.4892	-1.11504	-0.83204	-1.01955
HG00554	-0.10679	0.42712	-0.9994	-2.27224
HG00555	1.27761	0.69579	0.07983	0.40751
HG00556	-3.41179	0.38826	1.86589	1.47626
HG00557	-1.42301	-1.0298	0.12461	-1.56339
HG00558	-1.0693	-2.6365	0.74563	-1.46304
HG00559	-0.08793	-0.82277	1.13502	0.82735
HG00560	0.64031	-1.3237	-0.15549	0.88237
HG00561	1.0859	1.66991	-0.00433	-0.82055
HG00565	0.16991	0.96692	-1.2952	-0.82337
HG00566	0.11302	0.08242	2.31778	0.4932
HG00567	-1.47461	-0.22677	-0.24399	1.8462
HG00577	-1.64522	-1.6008	-0.53649	1.56054
HG00578	0.37335	-0.73271	0.31822	0.90229
HG00579	2.00822	0.79415	2.79489	0.39326
HG00580	-0.32071	0.382	0.34697	0.98668
HG00581	-0.15707	-0.7777	1.33195	-0.14282
HG00582	1.00113	0.54597	-0.05054	-1.91032
HG00583	1.80444	0.14494	-0.21502	-0.13575
HG00584	2.41954	-2.06405	-0.33963	-0.53086
HG00585	-0.51021	0.39776	-2.11496	-0.69272
HG00589	-1.36162	0.50269	0.9121	0.14902
HG00590	-1.43311	-1.15675	-1.55767	0.62011
HG00591	-0.18203	1.58378	0.43961	-1.41936
HG00592	0.06183	-0.33661	-0.97006	-0.85923
HG00593	0.48059	0.57203	-0.64111	0.93881
HG00594	0.84638	-0.57526	1.75582	1.68115
HG00595	1.08053	-2.17113	1.208	-0.79949
